Преподаватель HistoryTeacher1, настроение 1

nameStudent33(IQ=130) - не сдал
nameStudent30(IQ=66) - не сдал
nameStudent18(IQ=158) - сдал
nameStudent73(IQ=21) - не сдал
nameStudent58(IQ=164) - не сдал
nameStudent80(IQ=144) - сдал
nameStudent12(IQ=105) - не сдал
nameStudent26(IQ=27) - не сдал
nameStudent94(IQ=153) - не сдал
nameStudent51(IQ=134) - не сдал
nameStudent2(IQ=79) - не сдал
nameStudent61(IQ=129) - не сдал
nameStudent22(IQ=96) - не сдал
nameStudent11(IQ=0) - не сдал
nameStudent75(IQ=51) - не сдал
nameStudent20(IQ=63) - не сдал
nameStudent48(IQ=165) - сдал
nameStudent82(IQ=105) - не сдал
nameStudent25(IQ=119) - не сдал
nameStudent71(IQ=113) - не сдал
nameStudent8(IQ=140) - не сдал
nameStudent96(IQ=3) - не сдал
nameStudent50(IQ=27) - не сдал
nameStudent91(IQ=9) - не сдал
nameStudent27(IQ=151) - не сдал
nameStudent98(IQ=94) - не сдал
nameStudent64(IQ=37) - не сдал
nameStudent32(IQ=39) - не сдал
nameStudent52(IQ=131) - не сдал
nameStudent70(IQ=64) - не сдал
nameStudent23(IQ=101) - не сдал
nameStudent5(IQ=86) - не сдал
nameStudent29(IQ=110) - не сдал
nameStudent31(IQ=91) - не сдал
nameStudent38(IQ=25) - не сдал
nameStudent56(IQ=109) - не сдал
nameStudent84(IQ=158) - сдал
nameStudent14(IQ=9) - не сдал
nameStudent24(IQ=117) - не сдал
nameStudent10(IQ=147) - не сдал
nameStudent44(IQ=120) - не сдал
nameStudent46(IQ=134) - не сдал
nameStudent81(IQ=82) - не сдал
nameStudent55(IQ=126) - не сдал
nameStudent83(IQ=42) - не сдал
nameStudent3(IQ=44) - не сдал
nameStudent60(IQ=121) - не сдал
nameStudent39(IQ=118) - не сдал
nameStudent37(IQ=76) - не сдал
nameStudent28(IQ=104) - не сдал
nameStudent66(IQ=6) - не сдал
nameStudent6(IQ=86) - не сдал
nameStudent13(IQ=105) - не сдал
nameStudent78(IQ=82) - не сдал
nameStudent19(IQ=156) - не сдал
nameStudent45(IQ=95) - не сдал
nameStudent77(IQ=46) - не сдал
nameStudent99(IQ=125) - не сдал
nameStudent49(IQ=116) - не сдал
nameStudent89(IQ=166) - не сдал
nameStudent90(IQ=116) - не сдал
nameStudent74(IQ=37) - не сдал
nameStudent79(IQ=65) - не сдал
nameStudent72(IQ=8) - не сдал
nameStudent68(IQ=39) - не сдал
nameStudent47(IQ=90) - не сдал
nameStudent43(IQ=49) - не сдал
nameStudent88(IQ=85) - не сдал
nameStudent34(IQ=121) - не сдал
nameStudent42(IQ=158) - не сдал
nameStudent15(IQ=92) - не сдал
nameStudent36(IQ=88) - не сдал
nameStudent41(IQ=8) - не сдал
nameStudent21(IQ=93) - не сдал
nameStudent59(IQ=135) - не сдал
nameStudent93(IQ=30) - не сдал
nameStudent62(IQ=81) - не сдал
nameStudent63(IQ=110) - не сдал
nameStudent76(IQ=132) - не сдал
nameStudent57(IQ=25) - не сдал
nameStudent17(IQ=150) - сдал
nameStudent0(IQ=35) - не сдал
nameStudent35(IQ=147) - сдал
nameStudent95(IQ=112) - не сдал
nameStudent9(IQ=26) - не сдал
nameStudent53(IQ=152) - не сдал
nameStudent65(IQ=19) - не сдал
nameStudent54(IQ=82) - не сдал
nameStudent7(IQ=45) - не сдал
nameStudent86(IQ=14) - не сдал
nameStudent40(IQ=165) - не сдал
nameStudent85(IQ=47) - не сдал
nameStudent92(IQ=87) - не сдал
nameStudent69(IQ=167) - не сдал
nameStudent1(IQ=1) - не сдал
nameStudent4(IQ=67) - не сдал
nameStudent67(IQ=11) - не сдал
nameStudent16(IQ=164) - сдал
nameStudent87(IQ=111) - не сдал
nameStudent97(IQ=48) - не сдал
